driver,q1,q2,q3
Charles Leclerc,1:05.419,1:05.287,1:05.013
Carlos Sainz,1:05.660,1:05.576,1:05.066
George Russell,1:06.235,1:05.697,1:05.431
Esteban Ocon,1:06.468,1:05.993,1:05.726
Kevin Magnussen,1:06.366,1:05.894,1:05.879
Mick Schumacher,1:06.405,1:06.151,1:06.011
Fernando Alonso,1:06.016,1:06.082,1:06.103
Lewis Hamilton,1:06.079,1:05.475,1:13.151
Pierre Gasly,1:06.589,1:06.160,NA
Alexander Albon,1:06.516,1:06.230,NA
Valtteri Bottas,1:06.442,1:06.319,NA
Sergio Perez,1:06.143,1:06.458,NA
Yuki Tsunoda,1:06.463,1:06.851,NA
Lando Norris,1:06.330,1:25.847,NA
Daniel Ricciardo,1:06.613,NA,NA
Lance Stroll,1:06.847,NA,NA
Guanyu Zhou,1:06.901,NA,NA
Nicholas Latifi,1:07.003,NA,NA
Sebastian Vettel,1:07.083,NA,NA
Charles Leclerc,1:31.727,1:31.216,1:30.872
Max Verstappen,1:31.891,1:31.990,1:31.176
Sergio Perez,1:32.354,1:32.120,1:31.335
Lewis Hamilton,1:33.041,1:32.274,1:31.765
Lando Norris,1:32.672,1:32.777,1:32.032
George Russell,1:33.109,1:32.633,1:32.131
Fernando Alonso,1:32.819,1:32.631,1:32.552
Yuki Tsunoda,1:33.394,1:32.836,1:32.780
Carlos Sainz,1:32.297,1:31.081,DNF
Kevin Magnussen,1:32.756,1:32.649,NA
Daniel Ricciardo,1:33.404,1:32.922,NA
Esteban Ocon,1:33.346,1:33.048,NA
Valtteri Bottas,1:33.034,1:33.052,NA
Sebastian Vettel,1:33.285,1:33.276,NA
Alexander Albon,1:33.423,1:33.307,NA
Pierre Gasly,1:33.439,NA,NA
Lance Stroll,1:33.439,NA,NA
Guanyu Zhou,1:33.674,NA,NA
Mick Schumacher,1:33.701,NA,NA
Nicholas Latifi,1:33.794,NA,NA
George Russell,1:18.407,1:18.154,1:17.377
Carlos Sainz,1:18.434,1:17.946,1:17.421
Charles Leclerc,1:18.806,1:17.768,1:17.567
Lando Norris,1:18.653,1:18.121,1:17.769
