driver,position,points,laps
Mick Schumacher,13,0.0,72
Sebastian Vettel,14,0.0,72
Kevin Magnussen,15,0.0,72
Guanyu Zhou,16,0.0,72
Daniel Ricciardo,17,0.0,72
Nicholas Latifi,18,0.0,71
Charles Leclerc,2,18.0,53
Carlos Sainz,4,12.0,53
Lewis Hamilton,5,10.0,53
Sergio Perez,6,9.0,53
Pierre Gasly,8,4.0,53
Nyck De Vries,9,2.0,53
Guanyu Zhou,10,1.0,53
Esteban Ocon,11,0.0,53
Mick Schumacher,12,0.0,53
Valtteri Bottas,13,0.0,52
Nicholas Latifi,15,0.0,52
Kevin Magnussen,16,0.0,52
Sergio Perez,1,25.0,59
Charles Leclerc,2,18.0,59
Carlos Sainz,3,15.0,59
Lando Norris,4,12.0,59
Daniel Ricciardo,5,10.0,59
Lance Stroll,6,8.0,59
Max Verstappen,7,6.0,59
Sebastian Vettel,8,4.0,59
Lewis Hamilton,9,2.0,59
Pierre Gasly,10,1.0,59
Valtteri Bottas,11,0.0,59
Kevin Magnussen,12,0.0,59
Mick Schumacher,13,0.0,58
George Russell,14,0.0,57
Max Verstappen,1,25.0,28
Sergio Perez,2,18.0,28
Charles Leclerc,3,15.0,28
Esteban Ocon,4,12.0,28
Lewis Hamilton,5,10.0,28
Sebastian Vettel,6,8.0,28
Fernando Alonso,7,6.0,28
George Russell,8,4.0,28
Nicholas Latifi,9,2.0,28
Lando Norris,10,1.0,28
Daniel Ricciardo,11,0.0,28
Lance Stroll,12,0.0,28
Yuki Tsunoda,13,0.0,28
Kevin Magnussen,14,0.0,28
Valtteri Bottas,15,0.0,28
Guanyu Zhou,16,0.0,28
Mick Schumacher,17,0.0,28
Pierre Gasly,18,0.0,28
Max Verstappen,1,25.0,56
Lewis Hamilton,2,18.0,56
Charles Leclerc,3,15.0,56
Sergio Perez,4,12.0,56
George Russell,5,11.0,56
Lando Norris,6,8.0,56
Fernando Alonso,7,6.0,56
Sebastian Vettel,8,4.0,56
Kevin Magnussen,9,2.0,56
Yuki Tsunoda,10,1.0,56
Esteban Ocon,11,0.0,56
Guanyu Zhou,12,0.0,56
Alexander Albon,13,0.0,56
Pierre Gasly,14,0.0,56
Mick Schumacher,15,0.0,56
Daniel Ricciardo,16,0.0,56
Nicholas Latifi,17,0.0,56
Max Verstappen,1,25.0,71
Lewis Hamilton,2,18.0,71
Sergio Perez,3,15.0,71
George Russell,4,13.0,71
Carlos Sainz,5,10.0,71
Charles Leclerc,6,8.0,71
Daniel Ricciardo,7,6.0,70
Esteban Ocon,8,4.0,70
Lando Norris,9,2.0,70
Valtteri Bottas,10,1.0,70
Pierre Gasly,11,0.0,70
Guanyu Zhou,13,0.0,70
Sebastian Vettel,14,0.0,70
Lance Stroll,15,0.0,70
Mick Schumacher,16,0.0,70
Fernando Alonso,19,0.0,63
George Russell,1,26.0,71
Carlos Sainz,3,15.0,71
Charles Leclerc,4,12.0,71
Fernando Alonso,5,10.0,71
Max Verstappen,6,8.0,71
Sergio Perez,7,6.0,71
Esteban Ocon,8,4.0,71
Valtteri Bottas,9,2.0,71
Lance Stroll,10,1.0,71
Sebastian Vettel,11,0.0,71
Guanyu Zhou,12,0.0,71
Mick Schumacher,13,0.0,71
Pierre Gasly,14,0.0,71
Alexander Albon,15,0.0,71
Nicholas Latifi,16,0.0,71
Yuki Tsunoda,17,0.0,71
Max Verstappen,1,25.0,58
Charles Leclerc,2,18.0,58
Sergio Perez,3,15.0,58
Carlos Sainz,4,12.0,58
George Russell,5,10.0,58
Lando Norris,6,9.0,58
Lance Stroll,8,4.0,58
Daniel Ricciardo,9,2.0,58
Sebastian Vettel,10,1.0,58
Yuki Tsunoda,11,0.0,58
Guanyu Zhou,12,0.0,57
Pierre Gasly,14,0.0,57
Valtteri Bottas,15,0.0,57
Mick Schumacher,16,0.0,57
Kevin Magnussen,17,0.0,57
Lewis Hamilton,18,0.0,55
Nicholas Latifi,19,0.0,55
